Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Gate,Terminal,Arrival,ARR_CODE,
6E25,IndiGo,"04:00   07, Oct.","04:00   07, Oct.",Bengaluru,(BLR),C2,T2,Doha  ,DOH,
I51574,AirAsia India,"04:10   07, Oct.","04:10   07, Oct.",Bengaluru,(BLR),D6,T2,Goa  ,GOI,
6E5295,IndiGo,"04:25   07, Oct.","04:25   07, Oct.",Bengaluru,(BLR),3,,Mumbai  ,BOM,
6E6247,IndiGo,"04:25   07, Oct.","04:25   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
G9497,Air Arabia,"04:30   07, Oct.","04:30   07, Oct.",Bengaluru,(BLR),C4,T2,Sharjah  ,SHJ,
IX9501,Air India Express,"04:30   07, Oct.","04:30   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
QP1359,Akasa Air,"04:30   07, Oct.","04:30   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E961,IndiGo,"04:45   07, Oct.","04:45   07, Oct.",Bengaluru,(BLR),,,Chandigarh  ,IXC,
EY217,Etihad,"04:45   07, Oct.","04:45   07, Oct.",Bengaluru,(BLR),D1,T2,Abu Dhabi  ,AUH,
GF283,Gulf Air,"04:45   07, Oct.","04:45   07, Oct.",Bengaluru,(BLR),C1,T2,Manama  ,BAH,
EK569,Emirates,"04:50   07, Oct.","04:50   07, Oct.",Bengaluru,(BLR),C6,T2,Dubai  ,DXB,
I51533,AirAsia India,"04:50   07, Oct.","04:50   07, Oct.",Bengaluru,(BLR),D8,T2,Kolkata  ,CCU,
QP1624,Akasa Air,"04:50   07, Oct.","04:50   07, Oct.",Bengaluru,(BLR),,,Lucknow  ,LKO,
6E368,IndiGo,"04:55   07, Oct.","04:55   07, Oct.",Bengaluru,(BLR),,,Bhubaneswar  ,BBI,
I51780,AirAsia India,"04:55   07, Oct.","04:55   07, Oct.",Bengaluru,(BLR),,T2,Guwahati  ,GAU,
I5818,AirAsia India,"05:00   07, Oct.","05:00   07, Oct.",Bengaluru,(BLR),D22,T2,Pune  ,PNQ,
6E5124,IndiGo,"05:00   07, Oct.","05:00   07, Oct.",Bengaluru,(BLR),30,,Mumbai  ,BOM,
6E243,IndiGo,"05:05   07, Oct.","05:05   07, Oct.",Bengaluru,(BLR),,,Patna  ,PAT,
I51621,AirAsia India,"05:05   07, Oct.","05:05   07, Oct.",Bengaluru,(BLR),D4,T2,Ranchi  ,IXR,
QP1311,Akasa Air,"05:10   07, Oct.","05:10   07, Oct.",Bengaluru,(BLR),23,,Pune  ,PNQ,
I51981,AirAsia India,"05:10   07, Oct.","05:10   07, Oct.",Bengaluru,(BLR),D10,T2,Kochi  ,COK,
6E897,IndiGo,"05:10   07, Oct.","05:10   07, Oct.",Bengaluru,(BLR),3,,Varanasi  ,VNS,
6E6923,IndiGo,"05:15   07, Oct.","05:15   07, Oct.",Bengaluru,(BLR),,,Hyderabad  ,HYD,
6E7265,IndiGo,"05:20   07, Oct.","05:20   07, Oct.",Bengaluru,(BLR),,,Kozhikode  ,CCJ,
6E113,IndiGo,"05:20   07, Oct.","05:20   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
6E408,IndiGo,"05:25   07, Oct.","05:25   07, Oct.",Bengaluru,(BLR),,,Pune  ,PNQ,
6E109,IndiGo,"05:25   07, Oct.","05:25   07, Oct.",Bengaluru,(BLR),3,,Mangaluru  ,IXE,
QP1340,Akasa Air,"05:30   07, Oct.","05:30   07, Oct.",Bengaluru,(BLR),23,,Mumbai  ,BOM,
6E288,IndiGo,"05:30   07, Oct.","05:30   07, Oct.",Bengaluru,(BLR),29,,Visakhapatnam  ,VTZ,
6E194,IndiGo,"05:35   07, Oct.","05:35   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOX,
SG392,SpiceJet,"05:35   07, Oct.","05:35   07, Oct.",Bengaluru,(BLR),14,,Delhi  ,DEL,
6E2068,IndiGo,"05:35   07, Oct.","05:35   07, Oct.",Bengaluru,(BLR),17,,Delhi  ,DEL,
AI804,Air India,"05:45   07, Oct.","05:45   07, Oct.",Bengaluru,(BLR),D13,T2,Delhi  ,DEL,
6E1055,IndiGo,"05:45   07, Oct.","05:45   07, Oct.",Bengaluru,(BLR),D3,T2,Bangkok  ,BKK,
SG2927,SpiceJet,"05:50   07, Oct.","05:50   07, Oct.",Bengaluru,(BLR),20,,Gwalior  ,GWL,
6E7227,IndiGo,"05:55   07, Oct.","05:55   07, Oct.",Bengaluru,(BLR),3,,Hubballi  ,HBX,
6E5209,IndiGo,"06:00   07, Oct.","06:00   07, Oct.",Bengaluru,(BLR),3,,Mumbai  ,BOM,
QP1421,Akasa Air,"06:00   07, Oct.","06:00   07, Oct.",Bengaluru,(BLR),1,,Varanasi  ,VNS,
SG456,SpiceJet,"06:00   07, Oct.","06:00   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E6353,IndiGo,"06:05   07, Oct.","06:05   07, Oct.",Bengaluru,(BLR),3,,Lucknow  ,LKO,
