Time,Flight_no,Departure,Airlines ,Aircraft
00:05:00,AI504,Delhi (DEL),Air India,32N
00:05:00,I51130,Cochin (COK),AirAsia India,A320 
00:05:00,SQ512,Singapore (SIN),Singapore Airlines,359
00:10:00,SG534,Delhi (DEL),SpiceJet,B738 
00:15:00,6E6505,Hyderabad (HYD),IndiGo,A20N 
00:20:00,I5978,Visakhapatnam (VTZ),AirAsia India,A20N 
00:25:00,I5673,Guwahati (GAU),AirAsia India,A20N 
00:25:00,QP1541,Kolkata (CCU),Akasa Air,7M8
00:25:00,6E6338,Pune (PNQ),IndiGo,A21N 
00:30:00,6E6744,Indore (IDR),IndiGo,A20N 
00:35:00,6E6806,Goa (GOI),IndiGo,A21N 
00:35:00,6E2131,Delhi (DEL),IndiGo,A21N 
00:40:00,I51784,Mumbai (BOM),AirAsia India,A320 
00:40:00,SG393,Delhi (DEL),SpiceJet,B738 
00:50:00,6E5125,Mumbai (BOM),IndiGo,A21N 
00:50:00,6E6627,Thiruvananthapuram (TRV),IndiGo,A21N 
00:50:00,I5976,Pune (PNQ),AirAsia India,A320 
01:00:00,6E949,Hyderabad (HYD),IndiGo,A20N 
01:15:00,6E6354,Lucknow (LKO),IndiGo,A21N 
01:15:00,I5472,Goa (GOI),AirAsia India,A320 
01:25:00,LH754,Frankfurt (FRA),Lufthansa,B748 
01:35:00,I51534,Delhi (DEL),AirAsia India,A20N 
01:40:00,6E6565,Delhi (DEL),IndiGo,A21N 
01:40:00,QP1318,Pune (PNQ),Akasa Air,7M8
01:45:00,QP1409,Delhi (DEL),Akasa Air,7M8
02:00:00,6E996,Ahmedabad (AMD),IndiGo,A21N 
02:15:00,6E6406,Pune (PNQ),IndiGo,A21N 
02:20:00,QP1103,Mumbai (BOM),Akasa Air,7M8
02:20:00,9I520,Hyderabad (HYD),Alliance Air,AT7
02:25:00,QR572,Doha (DOH),Qatar Airways,77W
02:40:00,6E6953,Mumbai (BOM),IndiGo,A20N 
02:40:00,SG8143,Delhi (DEL),SpiceJet,B738 
02:40:00,6E1302,Doha (DOH),IndiGo,A20N 
02:45:00,EK568,Dubai (DXB),Emirates,388
03:15:00,EY216,Abu Dhabi (AUH),Etihad Airways,B789 
03:20:00,I5975,Pune (PNQ),AirAsia India,A320 
03:40:00,IX2992,Mumbai (BOM),Air India Express,738
03:50:00,G9496,Sharjah (SHJ),Air Arabia,320
03:55:00,GF282,Bahrain (BAH),Gulf Air,A320 
04:10:00,6E1486,Dubai (DXB),IndiGo,A20N 
04:30:00,6E338,Pune (PNQ),IndiGo,A21N 
04:45:00,BA119,London (LHR),British Airways (GREAT Festival of Creativity),B772 
05:50:00,AI621,Mumbai (BOM),Air India,321
05:55:00,6E6336,Pune (PNQ),IndiGo,A21N 
06:25:00,AI514,Delhi (DEL),Air India,319
06:25:00,6E702,Cochin (COK),IndiGo,A21N 
06:30:00,BZ403,Delhi (DEL),Blue Dart Aviation,757
06:45:00,BZ201,Mumbai (BOM),Blue Dart Aviation,757
06:45:00,6E887,Hyderabad (HYD),IndiGo,A20N 
06:45:00,6E2067,Delhi (DEL),IndiGo,A21N 
06:50:00,6E6422,Ahmedabad (AMD),IndiGo,A20N 
06:50:00,6E6438,Kolkata (CCU),IndiGo,A20N 
06:55:00,I51576,Goa (GOI),AirAsia India,A20N 
07:20:00,6E1006,Singapore (SIN),IndiGo,A21N 
07:30:00,IX9501,Delhi (DEL),Air India Express (Qutb Minar-Jantar Mantar),B738 
07:40:00,I51982,Cochin (COK),AirAsia India,A320 
07:45:00,UK845,Mumbai (BOM),Vistara,321
07:50:00,6E255,Mangalore (IXE),IndiGo,A20N 
07:50:00,6E5352,Mumbai (BOM),IndiGo,A20N 
07:55:00,6E701,Indore (IDR),IndiGo,A20N 
08:00:00,6E728,Cochin (COK),IndiGo,A20N 
08:10:00,6E839,Jaipur (JAI),IndiGo,A20N 
08:15:00,6E771,Kolkata (CCU),IndiGo,A20N 
08:15:00,6E7202,Kozhikode (CCJ),IndiGo,AT76 
08:20:00,I5819,Pune (PNQ),AirAsia India,A20N 
08:25:00,6E619,Hyderabad (HYD),IndiGo,A320 
08:25:00,BZ643,Chennai (MAA),Blue Dart Aviation,737
08:30:00,6E797,Chennai (MAA),IndiGo,A20N 
08:35:00,6E6612,Delhi (DEL),IndiGo,A320 
08:40:00,AI603,Mumbai (BOM),Air India,32N
08:40:00,6E921,Goa (GOX),IndiGo,A21N 
08:40:00,6E5296,Mumbai (BOM),IndiGo,A20N 
08:50:00,UK851,Mumbai (BOM),Vistara,320
08:55:00,EK564,Dubai (DXB),Emirates,77W
08:55:00,6E391,Pune (PNQ),IndiGo,A21N 
09:00:00,AI803,Delhi (DEL),Air India,321
09:05:00,UK811,Delhi (DEL),Vistara,320
09:05:00,6E475,Coimbatore (CJB),IndiGo,32Q
09:10:00,6E7233,Hubli (HBX),IndiGo,AT76 
09:15:00,6E287,Visakhapatnam (VTZ),IndiGo,A21N 
09:15:00,6E7245,Tiruchirapalli (TRZ),IndiGo,AT7
09:20:00,QR8694,Doha (DOH),Qatar Airways,77X
09:20:00,6E496,Kolkata (CCU),IndiGo,A20N 
09:30:00,6E6293,Mumbai (BOM),IndiGo,A20N 
09:45:00,6E393,Bhubaneswar (BBI),IndiGo,A20N 
09:50:00,6E295,Cochin (COK),IndiGo,32N
09:50:00,6E2403,Delhi (DEL),IndiGo,A21N 
09:50:00,6E6137,Chennai (MAA),IndiGo,32A
09:55:00,UK898,Hyderabad (HYD),Vistara,320
10:05:00,6E7203,Vijayawada (VGA),IndiGo,AT7
10:10:00,6E7257,Madurai (IXM),IndiGo,AT7
10:15:00,I51622,Ranchi (IXR),AirAsia India,A320 
10:15:00,SV866,Jeddah (JED),Saudia,A333 
10:15:00,6E7729,Kannur (CNN),IndiGo,AT7
10:20:00,6E909,Nagpur (NAG),IndiGo,32Q
10:20:00,6E5347,Mangalore (IXE),IndiGo,32N
10:30:00,6E6066,Hyderabad (HYD),IndiGo,32Q
10:30:00,6E6799,Ranchi (IXR),IndiGo,32N
10:35:00,6E7113,Rajahmundry (RJA),IndiGo,AT7
10:40:00,I5740,Delhi (DEL),AirAsia India,A320 
10:40:00,MH104,Kuala Lumpur (KUL),Malaysia Airlines,738
10:45:00,6E308,Delhi (DEL),IndiGo,32Q
10:45:00,6E358,Mangalore (IXE),IndiGo,32Q
10:50:00,UK815,Delhi (DEL),Vistara,320
10:50:00,UK863,Mumbai (BOM),Vistara,320
10:50:00,6E144,Varanasi (VNS),IndiGo,32Q
10:55:00,AI813,Delhi (DEL),Air India,321
10:55:00,SQ508,Singapore (SIN),Singapore Airlines,7M8
11:00:00,I51536,Kolkata (CCU),AirAsia India,A320 
11:00:00,6E247,Patna (PAT),IndiGo,32N
11:05:00,QP1110,Mumbai (BOM),Akasa Air,7M8
11:10:00,AI639,Mumbai (BOM),Air India,321
11:10:00,6E6542,Guwahati (GAU),IndiGo,32A
11:15:00,6E6634,Chandigarh (IXC),IndiGo,32Q
11:20:00,I51565,Bhubaneswar (BBI),AirAsia India,A320 
11:20:00,6E764,Kolkata (CCU),IndiGo,32N
11:25:00,AI515,Hyderabad (HYD),Air India,319
11:25:00,6E823,Ahmedabad (AMD),IndiGo,32Q
11:35:00,6E5212,Mumbai (BOM),IndiGo,32Q
11:40:00,6E703,Bhopal (BHO),IndiGo,32Q
11:40:00,6E6482,Cochin (COK),IndiGo,32N
11:45:00,I51781,Guwahati (GAU),AirAsia India,A20N 
11:45:00,6E325,Lucknow (LKO),IndiGo,32A
11:50:00,UK801,Delhi (DEL),Vistara,320
11:50:00,6E406,Raipur (RPR),IndiGo,32N
11:55:00,9I895,Hyderabad (HYD),Alliance Air,AT7
12:05:00,6E2069,Delhi (DEL),IndiGo,32N
12:10:00,I51453,Kolkata (CCU),AirAsia India,A320 
12:10:00,9I502,Vijayawada (VGA),Alliance Air,AT7
12:15:00,6E6892,Chennai (MAA),IndiGo,32N
12:25:00,I51426,Lucknow (LKO),AirAsia India,A320 
12:25:00,6E7732,Shivamogga (RQY),IndiGo,AT7
12:30:00,AI506,Delhi (DEL),Air India,32N
12:30:00,I51529,Visakhapatnam (VTZ),AirAsia India,A320 
12:30:00,SG328,Kolkata (CCU),SpiceJet,737
12:35:00,6E445,Siliguri (IXB),IndiGo,32A
12:40:00,6E172,Mangalore (IXE),IndiGo,32A
