Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
AI504,Air India,Delhi ,DEL,T2,Bengaluru,BLR,00:05:00,2023-10-07,23:37:00,2023-10-06,32N
SQ512,Singapore Airlines,Singapore ,SIN,T2,Bengaluru,BLR,00:05:00,2023-10-07,23:39:00,2023-10-06,359
6E6505,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,00:15:00,2023-10-07,23:52:00,2023-10-06,A20N
I5978,AirAsia India,Visakhapatnam ,VTZ,T2,Bengaluru,BLR,00:20:00,2023-10-07,23:59:00,2023-10-06,A20N
I51130,AirAsia India,Kochi ,COK,T2,Bengaluru,BLR,00:05:00,2023-10-07,00:02:00,2023-10-07,A320
SG534,SpiceJet,Delhi ,DEL,T1,Bengaluru,BLR,00:10:00,2023-10-07,00:02:00,2023-10-07,B738
6E6338,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,00:25:00,2023-10-07,00:03:00,2023-10-07,A21N
QP1541,Akasa Air,Guwahati ,GAU,T1,Bengaluru,BLR,00:25:00,2023-10-07,00:05:00,2023-10-07,7M8
6E6806,IndiGo,Goa ,GOI,T1,Bengaluru,BLR,00:35:00,2023-10-07,00:09:00,2023-10-07,A21N
I51784,AirAsia India,Bhubaneswar ,BBI,T2,Bengaluru,BLR,00:40:00,2023-10-07,00:24:00,2023-10-07,A320
I5673,AirAsia India,Guwahati ,GAU,T2,Bengaluru,BLR,00:25:00,2023-10-07,00:25:00,2023-10-07,A20N
6E6744,IndiGo,Indore ,IDR,T1,Bengaluru,BLR,00:30:00,2023-10-07,00:31:00,2023-10-07,A20N
6E2131,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,00:35:00,2023-10-07,00:35:00,2023-10-07,A21N
I5976,AirAsia India,Pune ,PNQ,T2,Bengaluru,BLR,00:50:00,2023-10-07,00:35:00,2023-10-07,A320
6E6627,IndiGo,Thiruvananthapuram ,TRV,T1,Bengaluru,BLR,00:50:00,2023-10-07,00:36:00,2023-10-07,A21N
SG393,SpiceJet,Delhi ,DEL,T1,Bengaluru,BLR,00:40:00,2023-10-07,00:40:00,2023-10-07,B738
6E5125,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,00:50:00,2023-10-07,00:40:00,2023-10-07,A21N
6E949,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,01:00:00,2023-10-07,00:48:00,2023-10-07,A20N
LH754,Lufthansa,Frankfurt ,FRA,T2,Bengaluru,BLR,01:25:00,2023-10-07,00:56:00,2023-10-07,B748
6E6354,IndiGo,Lucknow ,LKO,T1,Bengaluru,BLR,01:15:00,2023-10-07,01:01:00,2023-10-07,A21N
I5472,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,01:15:00,2023-10-07,01:15:00,2023-10-07,A320
6E6565,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,01:40:00,2023-10-07,01:23:00,2023-10-07,A21N
I51534,AirAsia India,Delhi ,DEL,T2,Bengaluru,BLR,01:35:00,2023-10-07,01:28:00,2023-10-07,A20N
