Time,Flight_no,Arrival,Airlines,Aircraft
00:10:00,SL217,Bangkok (DMK),Thai Lion Air,B738 
00:15:00,BZ304,Delhi (DEL),Blue Dart Aviation,757
00:25:00,BZ102,Mumbai (BOM),Blue Dart Aviation,757
00:30:00,6E2339,Delhi (DEL),IndiGo,A320 
00:30:00,TG326,Bangkok (BKK),Thai Airways,359
00:35:00,MH193,Kuala Lumpur (KUL),Malaysia Airlines,738
00:50:00,6E6129,Pune (PNQ),IndiGo,A21N 
01:10:00,KL880,Amsterdam (AMS),KLM,B772 
01:20:00,AF191,Paris (CDG),Air France,332
01:20:00,SQ513,Singapore (SIN),Singapore Airlines,359
01:40:00,6E6779,Ahmedabad (AMD),IndiGo,A20N 
02:00:00,I5472,Mumbai (BOM),AirAsia India,A320 
02:00:00,SG8136,Delhi (DEL),SpiceJet,737
02:30:00,6E699,Pune (PNQ),IndiGo,A21N 
02:30:00,ET691,Addis Ababa (ADD),Ethiopian Airlines,7M8
03:05:00,LH755,Frankfurt (FRA),Lufthansa,B748 
03:55:00,QR573,Doha (DOH),Qatar Airways,77W
04:00:00,6E25,Doha (DOH),IndiGo,A20N 
04:10:00,I51574,Goa (GOI),AirAsia India,A20N 
04:25:00,6E5295,Mumbai (BOM),IndiGo,A20N 
04:25:00,6E6247,Delhi (DEL),IndiGo,A21N 
04:30:00,G9497,Sharjah (SHJ),Air Arabia,320
04:30:00,QP1359,Delhi (DEL),Akasa Air,7M8
04:45:00,6E961,Chandigarh (IXC),IndiGo,A21N 
04:45:00,EK569,Dubai (DXB),Emirates,388
04:45:00,EY217,Abu Dhabi (AUH),Etihad Airways,789
04:45:00,GF283,Bahrain (BAH),Gulf Air,A320 
04:50:00,I51533,Kolkata (CCU),AirAsia India,A320 
04:50:00,QP1624,Mumbai (BOM),Akasa Air,7M8
04:55:00,I51780,Guwahati (GAU),AirAsia India,A20N 
04:55:00,6E368,Bhubaneswar (BBI),IndiGo,A20N 
05:00:00,6E5124,Mumbai (BOM),IndiGo,A21N 
05:00:00,I5818,Pune (PNQ),AirAsia India,A20N 
05:00:00,IX555,Delhi (DEL),AirAsia India,A20N 
05:05:00,6E243,Patna (PAT),IndiGo,A20N 
05:05:00,I51621,Ranchi (IXR),AirAsia India,A320 
05:10:00,I51981,Cochin (COK),AirAsia India,A320 
05:10:00,QP1311,Pune (PNQ),Akasa Air,7M8
05:10:00,6E897,Varanasi (VNS),IndiGo,A20N 
05:15:00,6E6923,Hyderabad (HYD),IndiGo,A320 
05:20:00,6E113,Cochin (COK),IndiGo,A20N 
05:20:00,6E7265,Kozhikode (CCJ),IndiGo,AT76 
05:20:00,I51528,Visakhapatnam (VTZ),AirAsia India,A320 
05:20:00,QP1572,Bhubaneswar (BBI),Akasa Air,7M8
05:25:00,6E109,Mangalore (IXE),IndiGo,A20N 
05:25:00,6E408,Pune (PNQ),IndiGo,A21N 
05:30:00,QP1340,Mumbai (BOM),Akasa Air,7M8
05:30:00,6E288,Visakhapatnam (VTZ),IndiGo,A21N 
05:35:00,SG392,Delhi (DEL),SpiceJet,737
05:35:00,6E194,Goa (GOX),IndiGo,A21N 
05:35:00,6E2068,Delhi (DEL),IndiGo,32N
05:45:00,AI804,Delhi (DEL),Air India,32N
05:45:00,6E1055,Bangkok (BKK),IndiGo,A21N 
05:50:00,SG2927,Gwalior (GWL),SpiceJet,DH8
05:55:00,6E7227,Hubli (HBX),IndiGo,AT76 
06:00:00,QP1421,Varanasi (VNS),Akasa Air,7M8
06:00:00,SG456,Mumbai (BOM),SpiceJet,737
06:05:00,I51452,Kolkata (CCU),AirAsia India,A320 
06:05:00,6E6353,Lucknow (LKO),IndiGo,A20N 
06:10:00,SG327,Kolkata (CCU),SpiceJet,737
06:10:00,6E586,Ahmedabad (AMD),IndiGo,A21N 
06:15:00,6E7107,Rajahmundry (RJA),IndiGo,AT76 
06:15:00,6E7236,Tiruchirapalli (TRZ),IndiGo,AT76 
06:15:00,QP1136,Mumbai (BOM),Akasa Air,7M8
06:20:00,6E443,Siliguri (IXB),IndiGo,A20N 
06:25:00,QP1603,Lucknow (LKO),Akasa Air,7M8
06:30:00,6E227,Kolkata (CCU),IndiGo,A20N 
06:30:00,6E6802,Nagpur (NAG),IndiGo,A21N 
06:35:00,6E857,Coimbatore (CJB),IndiGo,A21N 
06:35:00,6E7204,Vijayawada (VGA),IndiGo,AT76 
06:40:00,I52472,Lucknow (LKO),AirAsia India,A320 
06:40:00,UK866,Mumbai (BOM),Vistara,320
06:45:00,AI640,Mumbai (BOM),Air India,321
06:45:00,I51567,Bhubaneswar (BBI),AirAsia India,A320 
06:50:00,BA118,London (LHR),British Airways,777
06:55:00,QP1109,Mumbai (BOM),Akasa Air,7M8
06:55:00,6E7171,Madurai (IXM),IndiGo,AT76 
07:00:00,UK810,Delhi (DEL),Vistara,320
07:00:00,UK897,Hyderabad (HYD),Vistara,320
07:00:00,6E122,Delhi (DEL),IndiGo,A21N 
07:05:00,AI513,Delhi (DEL),Air India,319
07:05:00,S5151,Hyderabad (HYD),Star Air,ER4
07:05:00,6E5164,Mumbai (BOM),IndiGo,A21N 
07:05:00,S5150,Hyderabad (HYD),Star Air,ERJ
07:10:00,6E702,Bhopal (BHO),IndiGo,A21N 
07:15:00,6E7728,Kannur (CNN),IndiGo,AT76 
07:15:00,9I505,Cochin (COK),Alliance Air,AT7
07:20:00,BZ201,Chennai (MAA),Blue Dart Aviation,757
07:20:00,QP1372,Siliguri (IXB),Akasa Air,7M8
07:20:00,6E6269,Chennai (MAA),IndiGo,A20N 
07:25:00,AI516,Hyderabad (HYD),Air India,319
07:25:00,6E484,Hyderabad (HYD),IndiGo,A21N 
