Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
6E25,IndiGo,Bengaluru,BLR,T2,Doha ,DOH,04:00:00,2023-10-07,04:00:00,2023-10-07,A20N
I51574,AirAsia India,Bengaluru,BLR,T2,Goa ,GOI,04:10:00,2023-10-07,04:10:00,2023-10-07,A20N
6E5295,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,04:25:00,2023-10-07,04:25:00,2023-10-07,A20N
6E6247,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,04:25:00,2023-10-07,04:25:00,2023-10-07,A21N
G9497,Air Arabia,Bengaluru,BLR,T2,Sharjah ,SHJ,04:30:00,2023-10-07,04:30:00,2023-10-07,320
IX9501,Air India Express,Bengaluru,BLR,T2,Delhi ,DEL,04:30:00,2023-10-07,04:30:00,2023-10-07,NA
QP1359,Akasa Air,Bengaluru,BLR,T1,Delhi ,DEL,04:30:00,2023-10-07,04:30:00,2023-10-07,7M8
6E961,IndiGo,Bengaluru,BLR,T1,Chandigarh ,IXC,04:45:00,2023-10-07,04:45:00,2023-10-07,A21N
EY217,Etihad,Bengaluru,BLR,T2,Abu Dhabi ,AUH,04:45:00,2023-10-07,04:45:00,2023-10-07,789
GF283,Gulf Air,Bengaluru,BLR,T2,Manama ,BAH,04:45:00,2023-10-07,04:45:00,2023-10-07,A320
EK569,Emirates,Bengaluru,BLR,T2,Dubai ,DXB,04:50:00,2023-10-07,04:50:00,2023-10-07,388
I51533,AirAsia India,Bengaluru,BLR,T2,Kolkata ,CCU,04:50:00,2023-10-07,04:50:00,2023-10-07,A320
QP1624,Akasa Air,Bengaluru,BLR,T1,Lucknow ,LKO,04:50:00,2023-10-07,04:50:00,2023-10-07,7M8
6E368,IndiGo,Bengaluru,BLR,T1,Bhubaneswar ,BBI,04:55:00,2023-10-07,04:55:00,2023-10-07,A20N
I51780,AirAsia India,Bengaluru,BLR,T2,Guwahati ,GAU,04:55:00,2023-10-07,04:55:00,2023-10-07,A20N
I5818,AirAsia India,Bengaluru,BLR,T2,Pune ,PNQ,05:00:00,2023-10-07,05:00:00,2023-10-07,A20N
6E5124,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,05:00:00,2023-10-07,05:00:00,2023-10-07,A21N
6E243,IndiGo,Bengaluru,BLR,T1,Patna ,PAT,05:05:00,2023-10-07,05:05:00,2023-10-07,A20N
I51621,AirAsia India,Bengaluru,BLR,T2,Ranchi ,IXR,05:05:00,2023-10-07,05:05:00,2023-10-07,A320
QP1311,Akasa Air,Bengaluru,BLR,T1,Pune ,PNQ,05:10:00,2023-10-07,05:10:00,2023-10-07,7M8
I51981,AirAsia India,Bengaluru,BLR,T2,Kochi ,COK,05:10:00,2023-10-07,05:10:00,2023-10-07,A320
6E897,IndiGo,Bengaluru,BLR,T1,Varanasi ,VNS,05:10:00,2023-10-07,05:10:00,2023-10-07,A20N
6E6923,IndiGo,Bengaluru,BLR,T1,Hyderabad ,HYD,05:15:00,2023-10-07,05:15:00,2023-10-07,A320
6E7265,IndiGo,Bengaluru,BLR,T1,Kozhikode ,CCJ,05:20:00,2023-10-07,05:20:00,2023-10-07,AT76
6E113,IndiGo,Bengaluru,BLR,T1,Kochi ,COK,05:20:00,2023-10-07,05:20:00,2023-10-07,A20N
6E408,IndiGo,Bengaluru,BLR,T1,Pune ,PNQ,05:25:00,2023-10-07,05:25:00,2023-10-07,A21N
6E109,IndiGo,Bengaluru,BLR,T1,Mangaluru ,IXE,05:25:00,2023-10-07,05:25:00,2023-10-07,A20N
QP1340,Akasa Air,Bengaluru,BLR,T1,Mumbai ,BOM,05:30:00,2023-10-07,05:30:00,2023-10-07,7M8
6E288,IndiGo,Bengaluru,BLR,T1,Visakhapatnam ,VTZ,05:30:00,2023-10-07,05:30:00,2023-10-07,A21N
6E194,IndiGo,Bengaluru,BLR,T1,Goa ,GOX,05:35:00,2023-10-07,05:35:00,2023-10-07,A21N
SG392,SpiceJet,Bengaluru,BLR,T1,Delhi ,DEL,05:35:00,2023-10-07,05:35:00,2023-10-07,737
6E2068,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,05:35:00,2023-10-07,05:35:00,2023-10-07,32N
AI804,Air India,Bengaluru,BLR,T2,Delhi ,DEL,05:45:00,2023-10-07,05:45:00,2023-10-07,32N
6E1055,IndiGo,Bengaluru,BLR,T2,Bangkok ,BKK,05:45:00,2023-10-07,05:45:00,2023-10-07,A21N
SG2927,SpiceJet,Bengaluru,BLR,T1,Gwalior ,GWL,05:50:00,2023-10-07,05:50:00,2023-10-07,DH8
6E7227,IndiGo,Bengaluru,BLR,T1,Hubballi ,HBX,05:55:00,2023-10-07,05:55:00,2023-10-07,AT76
6E5209,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,06:00:00,2023-10-07,06:00:00,2023-10-07,NA
QP1421,Akasa Air,Bengaluru,BLR,T1,Varanasi ,VNS,06:00:00,2023-10-07,06:00:00,2023-10-07,7M8
SG456,SpiceJet,Bengaluru,BLR,T1,Mumbai ,BOM,06:00:00,2023-10-07,06:00:00,2023-10-07,737
6E6353,IndiGo,Bengaluru,BLR,T1,Lucknow ,LKO,06:05:00,2023-10-07,06:05:00,2023-10-07,A20N
I51452,AirAsia India,Bengaluru,BLR,T2,Kolkata ,CCU,06:05:00,2023-10-07,06:05:00,2023-10-07,A320
6E586,IndiGo,Bengaluru,BLR,T1,Ahmedabad ,AMD,06:10:00,2023-10-07,06:10:00,2023-10-07,A21N
SG327,SpiceJet,Bengaluru,BLR,T1,Kolkata ,CCU,06:10:00,2023-10-07,06:10:00,2023-10-07,737
6E7107,IndiGo,Bengaluru,BLR,T1,Rajahmundry ,RJA,06:15:00,2023-10-07,06:15:00,2023-10-07,AT76
QP1136,Akasa Air,Bengaluru,BLR,T1,Mumbai ,BOM,06:15:00,2023-10-07,06:15:00,2023-10-07,7M8
6E7236,IndiGo,Bengaluru,BLR,T1,Tiruchirappalli ,TRZ,06:15:00,2023-10-07,06:15:00,2023-10-07,AT76
6E443,IndiGo,Bengaluru,BLR,T1,Bagdogra ,IXB,06:20:00,2023-10-07,06:20:00,2023-10-07,A20N
QP1603,Akasa Air,Bengaluru,BLR,T1,Lucknow ,LKO,06:25:00,2023-10-07,06:25:00,2023-10-07,7M8
6E227,IndiGo,Bengaluru,BLR,T1,Dimapur ,DMU,06:30:00,2023-10-07,06:30:00,2023-10-07,A20N
6E6802,IndiGo,Bengaluru,BLR,T1,Nagpur ,NAG,06:30:00,2023-10-07,06:30:00,2023-10-07,A21N
